country,count,lat,lon
USA,36,39.7837304,-100.4458825
Iceland,10,64.9841821,-18.1059013
Netherlands,10,52.5001698,5.7480821
Australia,7,-24.7761086,134.755
China,7,35.000074,104.999927
Canada,6,61.0666922,-107.9917071
Sweden,6,59.6749712,14.5208584
Switzerland,6,46.7985624,8.2319736
Russia,6,64.6863136,97.7453061
Japan,5,36.5748441,139.2394179
Austria,5,47.2000338,13.199959
UK,4,54.7023545,-3.2765753
France,4,46.603354,1.8883335
Germany,4,51.0834196,10.4234469
Ukraine,4,49.4871968,31.2718321
Singapore,2,1.357107,103.8194992
Czech Republic,2,49.8167003,15.4749544
Turkey,2,38.9597594,34.9249653
Italy,2,42.6384261,12.674297
Iran,1,32.6475314,54.5643516
Hungary,1,47.1817585,19.5060937
Ethiopia,1,10.2116702,38.6521203
Belgium,1,50.6402809,4.6667145
None (Microsoft),1,0,0